update,global_step,episodes,last_100_return,approx_kl,clip_fraction,explained_variance,learning_rate,stopped_by_kl,steps_per_second
1.0,2048.0,92.0,20.358695652173914,0.0025830003432929516,0.0,-0.001371622085571289,0.0003,0.0,3901.0
2.0,4096.0,170.0,23.21,0.0020629316568374634,0.0,-0.016530513763427734,0.0002993852459016393,0.0,3158.0
3.0,6144.0,240.0,27.16,0.0009321860270574689,0.0,-0.010159969329833984,0.00029877049180327867,0.0,3359.0
4.0,8192.0,311.0,29.07,0.0005384862888604403,0.0,-0.009132981300354004,0.000298155737704918,0.0,3486.0
5.0,10240.0,377.0,29.77,0.0003440328873693943,0.0,0.007543385028839111,0.00029754098360655737,0.0,3538.0
6.0,12288.0,431.0,33.06,1.6760022845119238e-05,0.0,0.008508563041687012,0.0002969262295081967,0.0,3603.0
7.0,14336.0,496.0,31.48,0.0008924336871132255,0.0,-0.002881169319152832,0.00029631147540983607,0.0,3643.0
8.0,16384.0,557.0,32.72,0.0018020516727119684,0.0,-0.023076772689819336,0.00029569672131147536,0.0,3673.0
9.0,18432.0,609.0,35.32,0.0007873757858760655,0.0,0.004264175891876221,0.0002950819672131147,0.0,3691.0
10.0,20480.0,673.0,34.25,0.002554518636316061,0.0,0.04781550168991089,0.00029446721311475406,0.0,3715.0
11.0,22528.0,736.0,31.88,0.004122251179069281,0.0,0.003202080726623535,0.0002938524590163934,0.0,3434.0
12.0,24576.0,794.0,33.67,0.0025592546444386244,0.0,0.04707890748977661,0.00029323770491803276,0.0,3463.0
13.0,26624.0,850.0,34.35,0.001623895950615406,0.0,0.021030187606811523,0.0002926229508196721,0.0,3367.0
14.0,28672.0,910.0,35.29,0.006493346765637398,0.0013427734375,0.049307823181152344,0.00029200819672131145,0.0,2945.0
15.0,30720.0,974.0,31.43,0.017868774011731148,0.045166015625,0.026721835136413574,0.0002913934426229508,0.0,2621.0
16.0,32768.0,1040.0,31.54,0.007855542935431004,0.0372314453125,-0.017290115356445312,0.00029077868852459015,0.0,2561.0
17.0,34816.0,1111.0,29.86,0.004309289623051882,0.046875,0.03691577911376953,0.00029016393442622945,0.0,2610.0
18.0,36864.0,1174.0,30.53,0.0025905645452439785,0.046875,0.01715153455734253,0.00028954918032786885,0.0,2656.0
19.0,38912.0,1237.0,31.68,0.0047964006662368774,0.0076904296875,0.03861808776855469,0.0002889344262295082,0.0,2703.0
20.0,40960.0,1282.0,38.12,0.004293384961783886,0.0028076171875,0.024748623371124268,0.00028831967213114755,0.0,2744.0
21.0,43008.0,1331.0,41.76,0.015014744363725185,0.020751953125,-0.001990199089050293,0.00028770491803278684,0.0,2749.0
22.0,45056.0,1382.0,38.89,0.011629074811935425,0.089111328125,0.03272378444671631,0.0002870901639344262,0.0,2787.0
23.0,47104.0,1426.0,41.91,0.010081575252115726,0.0341796875,0.0485835075378418,0.00028647540983606554,0.0,2822.0
24.0,49152.0,1480.0,41.47,0.012409985065460205,0.1226806640625,0.06322914361953735,0.0002858606557377049,0.0,2854.0
25.0,51200.0,1523.0,40.6,0.006836053915321827,0.0013427734375,0.03948700428009033,0.00028524590163934424,0.0,2883.0
26.0,53248.0,1566.0,46.18,0.014765248633921146,0.0611572265625,0.07735204696655273,0.0002846311475409836,0.0,2910.0
27.0,55296.0,1603.0,49.55,0.006772841326892376,0.008544921875,0.02073812484741211,0.00028401639344262294,0.0,2938.0
28.0,57344.0,1639.0,52.49,0.003648090874776244,0.002685546875,0.08943116664886475,0.0002834016393442623,0.0,2968.0
29.0,59392.0,1680.0,52.1,0.007121802773326635,0.0364990234375,0.07892769575119019,0.00028278688524590163,0.0,2997.0
30.0,61440.0,1724.0,48.32,0.01763700321316719,0.105224609375,-0.0055921077728271484,0.00028217213114754093,0.0,3022.0
31.0,63488.0,1753.0,51.42,0.009980532340705395,0.01025390625,0.08779096603393555,0.0002815573770491803,0.0,2976.0
32.0,65536.0,1784.0,57.34,0.003978461027145386,0.0018310546875,0.02608668804168701,0.0002809426229508196,0.0,2986.0
33.0,67584.0,1822.0,60.46,0.014812538400292397,0.0240478515625,0.07826375961303711,0.00028032786885245903,0.0,2981.0
34.0,69632.0,1866.0,50.46,0.017333121970295906,0.043212890625,0.04703789949417114,0.0002797131147540983,0.0,2982.0
35.0,71680.0,1897.0,54.51,0.00430638249963522,0.0050048828125,0.06655097007751465,0.00027909836065573767,0.0,2975.0
36.0,73728.0,1923.0,56.42,0.006663930136710405,0.0103759765625,0.07682430744171143,0.000278483606557377,0.0,2992.0
37.0,75776.0,1960.0,61.42,0.010088909417390823,0.0101318359375,0.06286752223968506,0.00027786885245901637,0.0,3011.0
38.0,77824.0,1993.0,61.26,0.016969384625554085,0.051513671875,0.0971178412437439,0.0002772540983606557,0.0,3030.0
39.0,79872.0,2018.0,64.99,0.002210555598139763,0.0,0.08089995384216309,0.00027663934426229507,0.0,3047.0
40.0,81920.0,2038.0,69.39,0.0013536543119698763,0.0028076171875,0.1620458960533142,0.0002760245901639344,0.0,3065.0
41.0,83968.0,2070.0,74.21,0.011541703715920448,0.0281982421875,0.1133994460105896,0.00027540983606557377,0.0,2993.0
42.0,86016.0,2097.0,77.31,0.019059233367443085,0.126708984375,0.05325603485107422,0.0002747950819672131,0.0,3008.0
43.0,88064.0,2118.0,80.17,0.00754444720223546,0.013427734375,0.15349602699279785,0.0002741803278688524,0.0,3022.0
44.0,90112.0,2143.0,77.46,0.004695747047662735,0.001708984375,0.13227415084838867,0.00027356557377049176,0.0,3038.0
45.0,92160.0,2168.0,83.32,0.001023757504299283,0.00048828125,0.11456984281539917,0.0002729508196721311,0.0,3052.0
46.0,94208.0,2194.0,84.22,0.0013903332874178886,0.0028076171875,0.14824235439300537,0.00027233606557377046,0.0,3066.0
47.0,96256.0,2218.0,84.62,0.009222426451742649,0.011474609375,0.15282607078552246,0.0002717213114754098,0.0,3078.0
48.0,98304.0,2245.0,77.45,0.015535909682512283,0.0660400390625,0.08763355016708374,0.00027110655737704915,0.0,3093.0
49.0,100352.0,2268.0,77.65,0.013876471668481827,0.034912109375,0.17234152555465698,0.0002704918032786885,0.0,3103.0
50.0,102400.0,2297.0,76.21,0.020310312509536743,0.0732421875,0.12228715419769287,0.00026987704918032785,0.0,3117.0
51.0,104448.0,2317.0,80.35,0.0010346992639824748,0.0,0.1591130495071411,0.00026926229508196715,0.0,3054.0
52.0,106496.0,2334.0,86.38,0.003957753069698811,0.0072021484375,0.2387697696685791,0.00026864754098360655,0.0,3052.0
53.0,108544.0,2358.0,93.66,0.012843605130910873,0.01904296875,0.2641370892524719,0.0002680327868852459,0.0,3050.0
54.0,110592.0,2385.0,91.27,0.012081293389201164,0.017578125,0.1301804780960083,0.00026741803278688525,0.0,3048.0
55.0,112640.0,2405.0,94.6,0.006024327129125595,0.00537109375,0.2578961253166199,0.0002668032786885246,0.0,3045.0
56.0,114688.0,2414.0,94.74,0.0011539910919964314,0.001220703125,0.20225203037261963,0.0002661885245901639,0.0,3057.0
57.0,116736.0,2441.0,95.28,0.022153282538056374,0.1126708984375,0.18219220638275146,0.00026557377049180324,0.0,3068.0
58.0,118784.0,2457.0,99.55,0.013199945911765099,0.0308837890625,0.27678537368774414,0.0002649590163934426,0.0,3079.0
59.0,120832.0,2478.0,105.3,0.002453076420351863,0.0028076171875,0.22416752576828003,0.00026434426229508194,0.0,3087.0
60.0,122880.0,2497.0,106.55,0.011660467833280563,0.0565185546875,0.16172605752944946,0.0002637295081967213,0.0,3096.0
61.0,124928.0,2525.0,92.69,0.01820129156112671,0.0614013671875,0.30135202407836914,0.00026311475409836063,0.0,3067.0
62.0,126976.0,2539.0,101.47,0.0009425900061614811,0.00048828125,0.2938883304595947,0.0002625,0.0,3078.0
63.0,129024.0,2553.0,108.45,0.0015010586939752102,0.0025634765625,0.3219638466835022,0.00026188524590163933,0.0,3089.0
64.0,131072.0,2568.0,106.5,0.004778929054737091,0.009521484375,0.31118184328079224,0.0002612704918032787,0.0,3099.0
65.0,133120.0,2597.0,105.23,0.007954871281981468,0.008544921875,0.2002587914466858,0.000260655737704918,0.0,3108.0
66.0,135168.0,2611.0,106.92,0.0050038606859743595,0.009033203125,0.4355987310409546,0.0002600409836065573,0.0,3117.0
67.0,137216.0,2625.0,115.73,0.007158730179071426,0.01025390625,0.22667479515075684,0.00025942622950819673,0.0,3129.0
68.0,139264.0,2641.0,119.62,0.0010795136913657188,0.0008544921875,0.2640438675880432,0.000258811475409836,0.0,3141.0
69.0,141312.0,2658.0,117.63,0.002918571699410677,0.003173828125,0.3701666593551636,0.00025819672131147537,0.0,3153.0
70.0,143360.0,2682.0,115.93,0.014383065514266491,0.0382080078125,0.1748329997062683,0.0002575819672131147,0.0,3165.0
71.0,145408.0,2704.0,117.07,0.015190575271844864,0.0390625,0.24153947830200195,0.00025696721311475407,0.0,3125.0
72.0,147456.0,2716.0,115.08,0.0014714044518768787,0.0008544921875,0.309161901473999,0.0002563524590163934,0.0,3126.0
73.0,149504.0,2733.0,112.84,0.011096243746578693,0.0213623046875,0.22127151489257812,0.00025573770491803277,0.0,3125.0
74.0,151552.0,2750.0,110.42,0.004270349629223347,0.001220703125,0.35687315464019775,0.0002551229508196721,0.0,3123.0
75.0,153600.0,2761.0,115.83,0.010423464700579643,0.02099609375,0.3616216778755188,0.00025450819672131146,0.0,3118.0
76.0,155648.0,2782.0,119.65,0.023479726165533066,0.06640625,0.11995041370391846,0.0002538934426229508,0.0,3123.0
77.0,157696.0,2793.0,126.82,0.0010765953920781612,0.0023193359375,0.24400395154953003,0.0002532786885245901,0.0,3131.0
78.0,159744.0,2810.0,134.92,0.0060285963118076324,0.0048828125,0.3360685706138611,0.00025266393442622946,0.0,3138.0
79.0,161792.0,2830.0,127.47,0.013987100683152676,0.0238037109375,0.4346710443496704,0.0002520491803278688,0.0,3146.0
80.0,163840.0,2843.0,124.7,0.008496200665831566,0.0272216796875,0.22949939966201782,0.00025143442622950816,0.0,3154.0
81.0,165888.0,2863.0,121.92,0.007670901715755463,0.00537109375,0.23733806610107422,0.00025081967213114756,0.0,3124.0
82.0,167936.0,2872.0,123.53,0.006847996264696121,0.0101318359375,0.4028652310371399,0.0002502049180327869,0.0,3134.0
83.0,169984.0,2886.0,137.47,0.005463260691612959,0.0059814453125,0.3955436944961548,0.0002495901639344262,0.0,3144.0
84.0,172032.0,2903.0,131.38,0.0078892195597291,0.0172119140625,0.16507720947265625,0.00024897540983606555,0.0,3153.0
85.0,174080.0,2925.0,126.35,0.00724969245493412,0.0115966796875,0.1633976697921753,0.0002483606557377049,0.0,3160.0
86.0,176128.0,2940.0,132.58,0.010319750756025314,0.02392578125,0.17965662479400635,0.00024774590163934425,0.0,3166.0
87.0,178176.0,2949.0,131.27,0.0008686797227710485,0.0003662109375,0.4802454113960266,0.0002471311475409836,0.0,3173.0
88.0,180224.0,2961.0,139.86,0.0038691596128046513,0.0074462890625,0.4137495756149292,0.00024651639344262295,0.0,3180.0
89.0,182272.0,2976.0,140.25,0.011726567521691322,0.0274658203125,0.40849560499191284,0.0002459016393442623,0.0,3187.0
90.0,184320.0,3001.0,127.96,0.0073859309777617455,0.01025390625,0.1739588975906372,0.00024528688524590164,0.0,3193.0
91.0,186368.0,3013.0,129.93,0.003637782298028469,0.008056640625,0.43253225088119507,0.00024467213114754094,0.0,3111.0
92.0,188416.0,3027.0,138.71,0.001328161684796214,0.002197265625,0.3779539465904236,0.00024405737704918031,0.0,3109.0
93.0,190464.0,3042.0,135.72,0.006688905879855156,0.011962890625,0.19525760412216187,0.00024344262295081966,0.0,3108.0
94.0,192512.0,3051.0,136.55,0.0015972726978361607,0.0010986328125,0.6175966262817383,0.000242827868852459,0.0,3106.0
95.0,194560.0,3067.0,129.57,0.017063818871974945,0.0518798828125,0.3527093529701233,0.00024221311475409833,0.0,3113.0
96.0,196608.0,3083.0,137.19,0.0017363718943670392,0.0009765625,0.49569886922836304,0.00024159836065573768,0.0,3119.0
97.0,198656.0,3097.0,140.1,0.019955899566411972,0.08349609375,0.29633086919784546,0.00024098360655737703,0.0,3126.0
98.0,200704.0,3121.0,131.51,0.009181151166558266,0.0093994140625,0.2811030149459839,0.00024036885245901638,0.0,3131.0
99.0,202752.0,3137.0,126.8,0.003894767491146922,0.0087890625,0.24635255336761475,0.00023975409836065573,0.0,3138.0
100.0,204800.0,3150.0,126.2,0.012846091762185097,0.030029296875,0.27709752321243286,0.00023913934426229505,0.0,3143.0
101.0,206848.0,3163.0,130.02,0.0010734739480540156,0.00048828125,0.273237407207489,0.0002385245901639344,0.0,3116.0
102.0,208896.0,3175.0,130.14,0.017957724630832672,0.088623046875,0.639744758605957,0.00023790983606557375,0.0,3122.0
103.0,210944.0,3197.0,125.98,0.0028318327385932207,0.00244140625,0.2728986144065857,0.00023729508196721307,0.0,3128.0
104.0,212992.0,3208.0,131.09,0.009950272738933563,0.0264892578125,0.3931443691253662,0.00023668032786885242,0.0,3133.0
105.0,215040.0,3218.0,143.0,0.004121310543268919,0.01171875,0.2603934407234192,0.00023606557377049177,0.0,3139.0
106.0,217088.0,3236.0,147.46,0.013820447027683258,0.0272216796875,0.3821718692779541,0.00023545081967213112,0.0,3144.0
107.0,219136.0,3244.0,144.51,0.0021470810752362013,0.0032958984375,0.5182018280029297,0.0002348360655737705,0.0,3150.0
108.0,221184.0,3262.0,146.73,0.008482282049953938,0.00927734375,0.24428582191467285,0.00023422131147540984,0.0,3157.0
109.0,223232.0,3272.0,145.12,0.004477120470255613,0.0115966796875,0.0804588794708252,0.00023360655737704916,0.0,3165.0
110.0,225280.0,3290.0,149.67,0.006762806326150894,0.0084228515625,0.38261109590530396,0.0002329918032786885,0.0,3172.0
111.0,227328.0,3300.0,153.98,0.00164730753749609,0.0042724609375,0.6783245801925659,0.00023237704918032786,0.0,3124.0
112.0,229376.0,3316.0,150.49,0.013113385997712612,0.03759765625,0.3395769000053406,0.00023176229508196718,0.0,3123.0
113.0,231424.0,3333.0,146.42,0.011271972209215164,0.014892578125,0.29156410694122314,0.00023114754098360653,0.0,3121.0
114.0,233472.0,3346.0,147.43,0.0010860501788556576,0.0003662109375,0.41936802864074707,0.00023053278688524588,0.0,3122.0
115.0,235520.0,3353.0,153.02,0.010027529671788216,0.0206298828125,0.5362115502357483,0.00022991803278688523,0.0,3128.0
116.0,237568.0,3365.0,155.78,0.0045471638441085815,0.01416015625,0.12191367149353027,0.00022930327868852458,0.0,3134.0
117.0,239616.0,3379.0,158.93,0.013761766254901886,0.0584716796875,0.6170862317085266,0.00022868852459016393,0.0,3139.0
118.0,241664.0,3391.0,153.24,0.0006621437496505678,0.0,0.5913852453231812,0.00022807377049180325,0.0,3144.0
119.0,243712.0,3406.0,156.32,0.010731730610132217,0.0203857421875,0.2597620487213135,0.0002274590163934426,0.0,3149.0
120.0,245760.0,3425.0,153.27,0.009111330844461918,0.0135498046875,0.3978961110115051,0.00022684426229508195,0.0,3155.0
121.0,247808.0,3432.0,157.44,0.0041383178904652596,0.0067138671875,0.6173266768455505,0.00022622950819672127,0.0,3097.0
122.0,249856.0,3445.0,162.5,0.020815256983041763,0.074462890625,0.21665501594543457,0.00022561475409836062,0.0,3102.0
123.0,251904.0,3456.0,157.9,0.0026231531519442797,0.0008544921875,0.38149315118789673,0.000225,0.0,3108.0
124.0,253952.0,3467.0,159.29,0.0186816044151783,0.0853271484375,0.5046143531799316,0.00022438524590163934,0.0,3113.0
125.0,256000.0,3472.0,163.24,0.004459178075194359,0.01220703125,0.32092559337615967,0.0002237704918032787,0.0,3117.0
126.0,258048.0,3484.0,172.5,0.007452490273863077,0.0062255859375,0.17193478345870972,0.00022315573770491804,0.0,3122.0
127.0,260096.0,3496.0,179.38,0.013675974681973457,0.05078125,0.2599717974662781,0.00022254098360655736,0.0,3127.0
128.0,262144.0,3505.0,177.33,0.005929417908191681,0.0023193359375,0.5863435864448547,0.0002219262295081967,0.0,3132.0
129.0,264192.0,3515.0,192.0,0.009243190288543701,0.0330810546875,0.6686196327209473,0.00022131147540983603,0.0,3137.0
130.0,266240.0,3522.0,197.51,0.003231583395972848,0.0062255859375,0.3665759563446045,0.00022069672131147538,0.0,3138.0
131.0,268288.0,3536.0,201.67,0.00200645555742085,0.000244140625,0.17976641654968262,0.00022008196721311473,0.0,3080.0
132.0,270336.0,3548.0,202.67,0.002082076156511903,0.0015869140625,0.38960766792297363,0.00021946721311475408,0.0,3081.0
133.0,272384.0,3558.0,193.06,0.0026644538156688213,0.00341796875,0.08161675930023193,0.00021885245901639343,0.0,3082.0
134.0,274432.0,3566.0,200.94,0.004124622792005539,0.0133056640625,0.4528871178627014,0.00021823770491803278,0.0,3083.0
135.0,276480.0,3584.0,185.95,0.008198266848921776,0.0125732421875,0.13953012228012085,0.0002176229508196721,0.0,3090.0
136.0,278528.0,3597.0,182.45,0.004576647654175758,0.01513671875,0.2512551546096802,0.00021700819672131145,0.0,3095.0
137.0,280576.0,3608.0,177.91,0.00395040400326252,0.00634765625,0.18870508670806885,0.0002163934426229508,0.0,3099.0
138.0,282624.0,3616.0,179.34,0.0004855941515415907,0.000244140625,0.2569029927253723,0.00021577868852459012,0.0,3105.0
139.0,284672.0,3627.0,173.2,0.00026218529092147946,0.0,0.3289570212364197,0.00021516393442622947,0.0,3111.0
140.0,286720.0,3638.0,171.55,0.0011459796223789454,0.000244140625,0.30428099632263184,0.00021454918032786884,0.0,3116.0
141.0,288768.0,3648.0,170.72,0.008030220866203308,0.013916015625,0.12600284814834595,0.0002139344262295082,0.0,3071.0
142.0,290816.0,3661.0,179.27,0.003809190820902586,0.0029296875,0.43957769870758057,0.00021331967213114754,0.0,3076.0
143.0,292864.0,3670.0,172.68,0.002065629232674837,0.0023193359375,0.5553240180015564,0.0002127049180327869,0.0,3081.0
144.0,294912.0,3681.0,184.03,0.0009998847963288426,0.0009765625,0.4803222417831421,0.0002120901639344262,0.0,3086.0
145.0,296960.0,3692.0,187.64,0.004372237250208855,0.0028076171875,0.07766485214233398,0.00021147540983606556,0.0,3090.0
146.0,299008.0,3706.0,188.74,0.010549531318247318,0.017578125,0.3827592134475708,0.00021086065573770488,0.0,3095.0
147.0,301056.0,3714.0,189.58,0.001930047757923603,0.005126953125,0.4767841696739197,0.00021024590163934423,0.0,3096.0
148.0,303104.0,3722.0,190.7,0.012135227210819721,0.0281982421875,0.46704941987991333,0.00020963114754098358,0.0,3096.0
149.0,305152.0,3732.0,193.66,0.01768118515610695,0.044921875,0.10614299774169922,0.00020901639344262293,0.0,3095.0
150.0,307200.0,3742.0,195.57,0.0011244723573327065,0.003662109375,0.33793365955352783,0.00020840163934426228,0.0,3092.0
151.0,309248.0,3759.0,192.74,0.013230915181338787,0.0440673828125,0.27042901515960693,0.00020778688524590163,0.0,3074.0
152.0,311296.0,3773.0,181.63,0.003085304517298937,0.0076904296875,0.14590120315551758,0.00020717213114754098,0.0,3078.0
153.0,313344.0,3779.0,184.02,0.003987165167927742,0.0108642578125,0.2959977388381958,0.0002065573770491803,0.0,3083.0
154.0,315392.0,3792.0,192.79,0.004311489872634411,0.003662109375,0.2819030284881592,0.00020594262295081965,0.0,3087.0
155.0,317440.0,3797.0,190.93,0.0011919785756617785,0.001953125,0.294521689414978,0.00020532786885245897,0.0,3091.0
156.0,319488.0,3809.0,198.8,0.00034014711854979396,0.000244140625,0.4274827241897583,0.00020471311475409832,0.0,3094.0
157.0,321536.0,3816.0,192.79,0.0022179929073899984,0.00244140625,0.3342496156692505,0.0002040983606557377,0.0,3098.0
158.0,323584.0,3831.0,190.24,0.014752078801393509,0.0333251953125,0.3339690566062927,0.00020348360655737704,0.0,3103.0
159.0,325632.0,3846.0,180.28,0.0018018910195678473,0.0048828125,0.3521902561187744,0.0002028688524590164,0.0,3107.0
160.0,327680.0,3855.0,179.9,0.009584144689142704,0.019775390625,0.09534472227096558,0.00020225409836065574,0.0,3111.0
161.0,329728.0,3862.0,193.19,0.0015748792793601751,0.0037841796875,0.16289716958999634,0.0002016393442622951,0.0,3088.0
